ID,ScientificName,Dak_Cval,AB_Cval,KS_Cval,IL_Cval,Dispersal_syndrome,Dispersal_unit_type,Leaf_arrangement_type,Leaf_color,Leaf_compoundness,Leaf_phenology,Leaf_phenology_type,Leaf_shape,Photosynthesis_pathway,Plant_growth_form,Plant_growth_rate,Plant_lifespan,Plant_propagation_type,Plant_resprouting_capacity,Plant_tolerance_to_drought,Plant_tolerance_to_fire,Plant_tolerance_to_salt,Plant_tolerance_to_shade,Plant_vegetative_regeneration_capacity,Plant_woodiness,Seed_germination_requirement,Seed_storage_behaviour,LDMC,leafN_drymass,Seed_germ_rate,Seed_mass,SLA_no_petiole_or_rachis,SLA_plus_petiole_and_rachis,Veg_height
356,Equisetum sylvaticum,10,5,,,NA,spore,whorled,green,simple,Sp,deciduous,NA,c3,herb,fast,perennial,NA,no,high,no,none,intermediate,yes,non-woody,no,NA,0.279188333,16.15535177,NA,0.00001,24.40581798,23.9264472,0.385954667
357,Equisetum variegatum,10,6,,8,NA,spore,whorled,NA,simple,NA,evergreen,NA,c3,herb,NA,perennial,NA,NA,NA,no,NA,intolerant,yes,non-woody,NA,NA,NA,22.4,NA,NA,6.329113924,NA,0.325
359,Eragrostis hypnoides,2,,3,5,multi,NA,alternate,green,simple,Sp,NA,NA,NA,herb,slow,annual,NA,no,none,no,none,intolerant,none,non-woody,no,NA,NA,NA,86,0.085866546,NA,NA,0.0762
360,Eragrostis reptans,2,,6,,NA,NA,alternate,NA,simple,NA,NA,NA,c4,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,Eragrostis trichodes,8,,4,5,NA,NA,alternate,green,simple,SuF,NA,NA,c4,graminoid,fast,perennial,NA,no,high,no,low,intolerant,yes,non-woody,no,orthodox,NA,NA,61.5,0.23694146,NA,NA,1.0668
365,Erigeron lonchophyllus,10,5,,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,biennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,Erigeron philadelphicus,2,,3,3,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,no,none,intermediate,yes,non-woody,no,NA,NA,21.86,NA,0.050396618,29.2184076,39.70197999,0.85344
367,Erigeron pumilus,8,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.249771,17.72253404,NA,0.13,NA,10.3655993,NA
369,Erigeron strigosus,3,,4,2,wind,NA,alternate,green,simple,SpSu,NA,NA,c3,herb,moderate,perennial,NA,no,med,no,none,intolerant,yes,non-woody,yes,NA,0.236902024,24.635,NA,0.210533576,19.15546222,23.25963561,0.523226667
371,Eriogonum effusum,10,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,shrub,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.64,NA,NA,NA
372,Eriogonum flavum,7,,8,,NA,NA,alternate,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,woody,NA,NA,NA,NA,NA,2.44,NA,NA,NA
374,Eriophorum viridicarinatum,10,6,,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.611,NA,NA,0.6
376,Erysimum asperum,3,,6,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.206983,NA,NA,0.45,NA,9.6718806,0.2
380,Euonymus atropurpureus,9,,5,5,multi,NA,opposite,NA,simple,NA,deciduous,NA,NA,shrub,NA,perennial,NA,NA,NA,NA,NA,NA,NA,woody,NA,orthodox,NA,NA,NA,36.42272727,NA,NA,8.01624
381,Eutrochium maculatum,9,,8,5,NA,NA,whorled,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.222506481,15.9258298,40,0.270714286,27.56401671,24.5738653,0.70092
382,Eupatorium perfoliatum,9,,5,4,NA,NA,opposite,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.288768165,21.49296434,70,0.099466667,22.52303371,34.47638667,0.921461538
383,Euphorbia corollata,2,,5,3,NA,NA,alternate,NA,simple,NA,evergreen,NA,c3,herb,NA,perennial,NA,no,NA,NA,NA,NA,NA,woody,NA,NA,0.330497523,12.44,NA,3.840041667,10.98545451,17.88293394,0.38862069
384,Euphorbia dentata,2,,0,,auto,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,woody,NA,NA,NA,21.49,NA,5.379583333,13.18598443,NA,NA
386,Euphorbia fendleri,8,,6,,NA,NA,opposite,NA,simple,NA,deciduous,NA,c4,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.2547,9.054,NA,0.118,12.36630131,NA,0.039
387,Euphorbia geyeri,1,,6,10,NA,NA,opposite,NA,simple,NA,NA,NA,c4,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,Euphorbia glyptosperma,0,,,3,NA,NA,opposite,NA,simple,NA,NA,NA,c4,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.228359822,21.63,NA,0.1823,12.82051282,NA,0.01
389,Euphorbia hexagona,2,,2,,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,Euphorbia marginata,2,,0,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,NA,20.14,96,10.99294118,17.23245509,NA,NA
392,Euphorbia missurica,4,,5,,NA,NA,opposite,NA,simple,NA,NA,NA,c4,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.292307692,13.64,NA,0.6,11.9047619,NA,0.114
394,Euphorbia prostrata,1,,0,,multi,seed,opposite,NA,simple,NA,NA,NA,c4,herb,NA,annual,NA,no,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,0.10625
395,Euphorbia serpens,0,,,2,multi,seed,opposite,NA,simple,NA,deciduous,NA,c4,herb,NA,annual,NA,yes,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,20.09,NA,NA,18.31501832,NA,NA
397,Euphorbia spathulata,5,,,10,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.54146628,18.55,NA,1.209307692,22.5490196,19.06,0.312
399,Euthamia graminifolia,6,5,,3,wind,fruit,alternate,NA,simple,NA,deciduous,lanceolate,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.344698845,20.2417092,NA,0.103022723,14.1551358,15.39536099,0.7204984
400,Euthamia gymnospermoides,5,,3,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,15.65,NA,NA,8.503401361,NA,NA
406,Fimbristylis puberula,10,,8,9,NA,NA,rosette,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,yes,NA,NA,NA,NA,NA,non-woody,NA,NA,0.415282019,NA,NA,0.342333333,18.9983695,NA,0.234
407,Fragaria vesca,6,4,,,animal,fruit,rosette,NA,compound,NA,evergreen,palmate,c3,herb,NA,perennial,seed and vegetative,no,NA,NA,low,intolerant,yes,non-woody,NA,orthodox,0.298572678,18.49633231,76.5,6.838964444,24.48717949,27.76435352,0.110521739
408,Fragaria virginiana,4,1,2,2,multi,NA,rosette,NA,compound,NA,deciduous,NA,c3,herb,NA,perennial,NA,yes,NA,NA,NA,NA,NA,non-woody,NA,NA,0.371911457,19.45600232,NA,0.435433333,16.69160054,16.4783493,0.131028767
409,Fraxinus nigra,10,,,8,auto,NA,opposite,green,compound,SpSu,deciduous,acuminate,c3,tree,moderate,perennial,NA,yes,low,intermediate,none,intolerant,NA,woody,yes,orthodox,NA,20.2,NA,52.27072678,NA,NA,20.63978667
410,Fraxinus pennsylvanica,5,,0,5,auto,fruit,opposite,yellow-green,compound,SpSu,deciduous,acuminate,c3,tree,fast,perennial,NA,yes,med,intermediate,none,tolerant,NA,woody,yes,orthodox,0.268578129,17.02,NA,30.33087077,22.722,40.84548595,9.052172973
413,Froelichia floridana,3,,,5,NA,NA,rosette,NA,simple,NA,NA,NA,c4,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,NA,NA,NA,2.383,NA,NA,NA
420,Galium boreale,4,,,7,multi,seed,whorled,green,simple,SpSuF,deciduous,cuneate,c3,herb,moderate,perennial,NA,no,med,no,none,intolerant,yes,non-woody,yes,uncertain,0.277392574,20.35982609,65,0.660709729,17.84090062,27.44045882,0.264634783
421,Galium obtusum,10,,5,5,NA,NA,whorled,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,none,intermediate,low,tolerant,yes,non-woody,yes,NA,0.236238286,NA,NA,0.905797101,NA,44.69714113,0.320794444
422,Galium triflorum,7,4,6,4,animal,NA,whorled,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,uncertain,NA,18.45714286,NA,0.782714286,35.71428571,NA,0.6
426,Gentiana andrewsii,10,,,7,NA,NA,opposite,green,simple,SpSuF,NA,NA,c3,herb,moderate,perennial,NA,no,med,intermediate,none,intermediate,yes,non-woody,no,NA,0.224198778,NA,NA,0.062568505,NA,17.23861189,0.631371429
427,Gentiana puberulenta,10,,8,9,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,8.82,NA,0.06,12.07729469,NA,NA
430,Geranium bicknellii,3,,,9,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,1.84,NA,NA,0.3
431,Geranium carolinianum,5,,0,2,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,NA,23.76,NA,2.49375,13.67989056,21.70382165,0.4
432,Geranium maculatum,10,,7,4,NA,NA,opposite,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.185222611,17.53333333,NA,6.07,NA,35.24790612,0.344
433,Geum canadense,4,,1,2,NA,NA,alternate,green,compound,Sp,NA,NA,NA,herb,moderate,perennial,NA,no,low,no,none,tolerant,yes,non-woody,no,NA,0.222901003,12.135,99.33333333,6.556249597,17.24399494,31.26349812,0.485286154
434,Geum macrophyllum,8,3,,,human,fruit,rosette,green,compound,SpSu,deciduous,pinnate,c3,herb,moderate,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,0.264215517,NA,99,0.625361248,40.86908591,NA,0.5048
435,Geum rivale,10,6,,,animal,fruit,rosette,green,compound,SpSu,deciduous,plastic,c3,herb,moderate,perennial,seed,no,low,intermediate,none,intolerant,yes,non-woody,no,orthodox,0.256104141,30.17386902,100,1.097114537,23.76841779,23.38664972,0.400685714
436,Geum triflorum,8,,,9,auto,NA,rosette,green,compound,SpSu,deciduous,NA,c3,herb,moderate,perennial,NA,no,high,intermediate,none,intermediate,yes,non-woody,no,orthodox,0.33946276,14.44444444,100,1.269743971,11.60512018,15.1600725,0.28524
437,Gleditsia triacanthos,6,,0,2,auto,NA,alternate,green,compound,SpSu,deciduous,NA,c3,tree,fast,annual,NA,yes,high,no,none,intolerant,NA,woody,no,orthodox,0.385786865,28.45425667,85,164.297268,31.1,26.15218166,31.26357895
438,Glyceria borealis,8,4,,10,NA,NA,alternate,green,simple,Sp,NA,NA,c3,graminoid,moderate,perennial,NA,no,low,no,none,intolerant,yes,non-woody,no,NA,NA,NA,NA,0.334,NA,NA,1.49352
439,Glyceria grandis,4,5,,8,NA,NA,alternate,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,23.5,NA,0.337777778,37.85,NA,NA
440,Glyceria striata,6,4,5,4,multi,fruit,alternate,green,simple,Sp,NA,NA,NA,graminoid,moderate,perennial,NA,no,low,no,none,tolerant,yes,non-woody,no,orthodox,0.293241903,18.86,NA,0.137821429,27.53860017,NA,0.88434
441,Glycyrrhiza lepidota,2,4,3,,NA,NA,alternate,green,compound,SpSu,NA,NA,c3,herb,moderate,perennial,NA,no,none,intermediate,none,intermediate,yes,non-woody,no,NA,NA,38.83,67,6.853989836,15.04672897,NA,1.2192
443,Gratiola neglecta,0,,4,5,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,Gutierrezia sarothrae,6,,3,,auto,NA,alternate,green,simple,SpSu,deciduous,NA,c3,shrub,moderate,perennial,NA,no,high,intermediate,low,intolerant,yes,woody,no,orthodox,0.375856583,19.78375,85.66666667,0.592171132,9.393567894,155.3591113,0.25466087
447,Hackelia deflexa,0,,,8,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,25.8735,NA,NA,0.4
449,Hackelia virginiana,0,,3,1,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,biennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,25.09,NA,2.6,24.7972973,NA,NA
452,Helenium autumnale,4,5,,3,wind,NA,alternate,green,simple,SpSu,NA,NA,c3,herb,fast,perennial,NA,no,low,no,none,intolerant,yes,non-woody,no,orthodox,0.259544241,NA,NA,0.418646281,11.60321257,28.80061333,0.707946667
453,Helianthemum bicknellii,10,,7,7,NA,NA,alternate,NA,simple,NA,NA,NA,NA,subshrub,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.234362975,16.81547619,NA,0.464166667,NA,15.50935298,0.4375
455,Helianthus grosseserratus,7,,4,2,NA,NA,alternate,dark green,simple,SpSuF,NA,NA,NA,herb,moderate,perennial,NA,no,med,intermediate,none,intolerant,yes,non-woody,yes,NA,0.224086403,28.95983337,NA,1.488634756,NA,22.05129762,1.612909091
456,Helianthus maximiliani,5,,3,,NA,NA,alternate,green,simple,SuF,NA,NA,NA,herb,fast,perennial,NA,no,med,intermediate,low,intolerant,yes,non-woody,yes,orthodox,0.272629521,16.21,90,2.000647052,6.349206349,NA,1.524
457,Helianthus petiolaris,0,,1,,NA,NA,alternate,NA,simple,NA,NA,NA,c3,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,3.59,8.43618927,NA,2
458,Helianthus tuberosus,2,,,3,human,vegetative,alternate,yellow-green,simple,SpSu,deciduous,NA,c3,herb,fast,perennial,NA,no,high,intermediate,low,intermediate,yes,non-woody,no,orthodox,0.12693,15.42,NA,3.848187017,8.30393443,33.53,1.965226667
460,Heliopsis helianthoides,5,,6,4,NA,NA,opposite,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.202599829,30.95,NA,4.875647059,15.46689783,21.73900313,1.218695652
461,Heliotropium curassavicum,8,,4,,NA,NA,alternate,gray-green,simple,SpSuF,NA,NA,c4,herb,moderate,perennial,NA,no,med,intermediate,high,intolerant,yes,semi-woody,no,NA,NA,NA,74,1.781111111,NA,NA,0.28288
463,Heracleum sphondylium,3,,5,,animal,seed,alternate,NA,compound,NA,deciduous,pinnate,c3,herb,NA,perennial,seed,NA,NA,NA,low,intolerant,none,non-woody,NA,orthodox,0.187068011,30.17928844,86,6.465051613,21.34631984,19.15881285,0.877216216
465,Heteranthera limosa,9,,5,,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.086446934,43.85093,NA,NA,31.74603175,55.88768817,NA
466,Heuchera richardsonii,8,,7,7,NA,NA,rosette,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.330986695,NA,98,0.06565,NA,11.61283082,0.172857143
468,Hieracium canadense,6,,,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,21.39642,NA,NA,23.502,NA,NA
469,Hieracium umbellatum,6,1,,,animal,seed,rosette,NA,simple,NA,deciduous,lanceolate,c3,herb,NA,perennial,NA,NA,NA,NA,NA,low,NA,non-woody,NA,orthodox,0.215082857,23.58423364,NA,0.429493333,19.65,21.5595047,0.590225
470,Hierochloe odorata,10,,,7,multi,seed,rosette,gray-green,simple,SpSuF,deciduous,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,medium,NA,yes,non-woody,no,NA,0.19198,NA,NA,0.960167728,NA,41.866,0.45745
471,Hippuris vulgaris,5,,,10,animal,fruit,whorled,green,simple,SpSu,evergreen,lanceolate,c3,herb,fast,perennial,vegetative,no,none,yes,none,intolerant,yes,non-woody,no,orthodox,0.116125929,25.79479784,NA,0.897173637,35.1,60.64498662,0.532844
472,Hordeum jubatum,0,1,1,,gravity,seed,alternate,NA,simple,NA,deciduous,NA,c3,graminoid,NA,perennial,seed,NA,NA,NA,NA,intolerant,none,non-woody,yes,orthodox,0.2456,22.54,89,2.072625,23.55232576,NA,0.5
474,Hudsonia tomentosa,10,,,9,NA,NA,alternate,gray-green,simple,SpSu,NA,NA,NA,shrub,slow,perennial,NA,no,high,yes,high,intolerant,NA,woody,yes,NA,NA,NA,NA,NA,NA,NA,0.1524
475,Humulus lupulus,3,,,2,multi,seed,opposite,NA,simple,NA,deciduous,lobed,c3,liana,NA,perennial,NA,NA,NA,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.2925,NA,100,3.377444444,21.72642916,NA,4.3
476,Hydrophyllum virginianum,8,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.11947358,NA,NA,8.1,NA,39.09591506,0.157692308
477,Hymenopappus filifolius,8,,6,5,NA,NA,rosette,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,semi-woody,NA,NA,NA,18.63751111,NA,NA,5.706604913,18.63751111,NA
478,Hymenopappus tenuifolius,8,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,biennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,Hypericum majus,10,,6,7,auto,seed,opposite,NA,simple,NA,deciduous,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.01,NA,NA,0.7
482,Hypoxis hirsuta,8,,5,6,NA,NA,rosette,green,simple,Sp,NA,NA,NA,herb,moderate,perennial,NA,no,med,intermediate,none,intermediate,yes,non-woody,no,NA,0.185328185,NA,NA,0.33575,NA,NA,0.2286
483,Elymus hystrix,8,,7,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,12.6,NA,4.5578,NA,NA,NA
484,Impatiens capensis,4,3,,2,auto,seed,opposite,green,simple,Su,deciduous,cuneate,c3,herb,fast,annual,seed,no,low,intermediate,none,intolerant,yes,non-woody,no,orthodox,0.126295966,20.72602286,NA,6.457499007,53.40375,78.48344298,0.779703729
485,Impatiens pallida,4,,5,4,NA,NA,opposite,green,simple,Su,NA,NA,NA,herb,fast,annual,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,0.216903042,13,NA,0.64699793,80.79476093,40.49005587,2.49936
486,Ipomoea leptophylla,9,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,105,NA,NA,NA
488,Ipomopsis spicata,8,,9,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,Iva axillaris,4,3,3,,NA,NA,opposite,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,1.515555556,NA,NA,NA
492,Juglans nigra,8,,3,4,auto,NA,alternate,green,compound,Sp,deciduous,acuminate,c3,tree,fast,perennial,NA,yes,low,intermediate,none,intolerant,NA,woody,no,orthodox,NA,26,NA,11372.98115,NA,NA,34.19272
493,Juncus articulatus,1,,,9,animal,seed,rosette,green,simple,SpSu,evergreen,NA,c3,graminoid,moderate,perennial,seed and vegetative,no,low,intermediate,med-low,intolerant,yes,non-woody,no,orthodox,0.213384449,20.71510981,82,0.019770833,19.69230769,12.17534693,0.369144444
494,Juncus balticus,5,2,6,6,multi,seed,rosette,green,simple,NA,evergreen,NA,c3,herb,NA,perennial,NA,no,low,high,varies,intolerant,yes,non-woody,NA,orthodox,NA,NA,100,0.057708571,NA,NA,0.482142857
495,Juncus canadensis,10,,,6,wind,NA,rosette,green,simple,SpSuF,NA,NA,c3,herb,fast,perennial,NA,no,none,intermediate,medium,intermediate,yes,non-woody,no,orthodox,NA,NA,79,0.16425,NA,NA,0.98768
496,Juncus dudleyi,4,,3,,NA,seed,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.01,NA,NA,NA
498,Juncus interior,5,,2,3,NA,NA,rosette,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.016,NA,NA,0.9144
499,Juncus longistylis,10,5,,,NA,NA,rosette,green,simple,SpSu,deciduous,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,medium,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.01,4.726638567,NA,0.5334
500,Juncus marginatus,10,,5,5,NA,NA,rosette,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.003833333,NA,NA,0.6096
501,Juncus torreyi,2,,,3,NA,NA,rosette,green,simple,Su,NA,NA,c3,herb,moderate,perennial,NA,no,low,intermediate,none,intolerant,yes,non-woody,no,NA,NA,NA,NA,0.0104,NA,NA,0.94488
502,Juniperus communis,5,,,10,animal,seed,opposite,green,simple,SpSu,evergreen,acicular,c3,tree,slow,perennial,seed,no,high,no,none,intolerant,none,woody,yes,orthodox,0.582825071,11.23483711,NA,77.88673485,15.89732044,14.98080468,5.731671642
503,Juniperus horizontalis,6,,,10,NA,NA,opposite,green,simple,SpSu,NA,NA,c3,shrub,moderate,perennial,NA,yes,low,intermediate,low,intolerant,NA,woody,yes,NA,NA,NA,NA,13,NA,NA,0.762
504,Juniperus virginiana,0,,1,1,animal,NA,opposite,green,simple,SpSu,evergreen,acute,c3,tree,slow,perennial,NA,yes,high,no,low,intermediate,NA,woody,yes,orthodox,0.504182999,14.68461538,NA,10.91629109,1.605735008,NA,14.48177778
506,Lactuca biennis,6,,,4,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,13.4,NA,0.9115,NA,54.97527423,NA
507,Lactuca canadensis,6,,2,1,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.169481126,22.23,NA,0.641666667,23.11215437,38.04864097,1.344
508,Lactuca floridana,4,,3,4,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,1.521538462,NA,NA,NA
511,Laportea canadensis,5,,4,2,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.186179734,20.475,NA,2.174285714,11.89060642,50.51018425,0.29125
515,Lathyrus palustris,9,,,7,multi,seed,alternate,NA,compound,NA,deciduous,pinnate,c3,liana,NA,perennial,seed,NA,NA,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.169354,NA,80,16.63485714,NA,35.578,0.766666667
517,Leersia oryzoides,2,,4,3,animal,fruit,alternate,dark green,simple,Su,deciduous,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,none,intolerant,yes,non-woody,no,orthodox,0.377790177,14.90649898,85.25,1.515333333,30.91006765,35.94357857,0.668648889
518,Leersia virginica,5,,3,4,NA,NA,alternate,green,simple,Sp,NA,NA,NA,graminoid,moderate,perennial,NA,no,none,no,none,tolerant,yes,non-woody,no,NA,NA,25.03,NA,NA,42.55319149,NA,1.18872
519,Lemna obscura,2,,7,5,NA,NA,NA,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,Lemna trisulca,2,4,8,8,animal,vegetative,NA,green,simple,Su,evergreen,NA,c3,herb,fast,perennial,NA,no,none,yes,none,intolerant,yes,non-woody,no,uncertain,0.14055,27.5,NA,NA,15.64285714,54.956,0.0182425
521,Lemna turionifera,1,,7,,NA,vegetative,NA,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,0.006
527,Lespedeza capitata,9,,6,4,NA,NA,alternate,green,compound,Su,deciduous,NA,c3,herb,slow,perennial,NA,no,high,intermediate,none,intolerant,yes,non-woody,no,NA,0.375163769,23.04411211,84,2.770406107,20.88374903,13.94480687,0.663368696
528,Physaria ludoviciana,6,,,10,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.467,NA,NA,NA
530,Liatris aspera,8,,6,7,NA,NA,alternate,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.252863966,13.8148206,NA,1.592363636,11.93781763,12.77767181,0.595384615
531,Liatris lancifolia,10,,8,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,Liatris punctata,7,,5,,NA,NA,alternate,green,simple,Su,NA,NA,c3,herb,slow,perennial,NA,no,high,intermediate,none,intolerant,yes,non-woody,yes,NA,0.30112,15.68032235,NA,13.73876288,5.389658062,7.546942075,0.6096
534,Liatris pycnostachya,8,,7,6,NA,NA,alternate,green,simple,Su,NA,NA,NA,herb,moderate,perennial,NA,no,med,intermediate,low,intolerant,yes,non-woody,yes,NA,0.263496518,NA,92,1.764693438,17.72356703,8.985170436,0.682266667
